OrderID,CustomerID,OrderDate,ShipDate,ProductID,Quantity,Sales,Discount,ShippingCost,Region,Profit,ShippingMethod,PaymentType,OrderMonth,OrderYear,CustomerName,Segment,Country,ProductName,Category,SubCategory,ReturnStatus
ORD-00016,CUST-092,2023-02-11,2023-02-16,PROD-003,3,320.19,0.38,22.23,Central,192.10896751303568,Standard Class,Credit Card,2,2023,Customer 92,Consumer,USA,Product 3,Office Supplies,Chairs,Not Returned
ORD-00017,CUST-030,2023-11-10,2023-11-12,PROD-024,4,793.21,0.09,42.76,Central,675.0664450952714,Second Class,Debit Card,11,2023,Customer 30,Home Office,India,Product 24,Office Supplies,Phones,Not Returned
ORD-00018,CUST-093,2023-02-25,2023-03-02,PROD-023,5,457.49,0.04,11.54,Central,428.9422747333171,Same Day,Credit Card,2,2023,Customer 93,Consumer,USA,Product 23,Technology,Chairs,Not Returned
ORD-00019,CUST-046,2023-03-07,2023-03-10,PROD-008,6,802.41,0.35,27.76,East,493.17376040103085,Same Day,Net Banking,3,2023,Customer 46,Home Office,Canada,Product 8,Technology,Storage,Not Returned
ORD-00020,CUST-006,2023-10-27,2023-11-01,PROD-047,3,825.97,0.18,7.79,East,662.9079135874605,Standard Class,UPI,10,2023,Customer 6,Consumer,India,Product 47,Technology,Phones,Not Returned
ORD-00021,CUST-099,2023-07-04,2023-07-05,PROD-037,2,860.41,0.22,8.2,Central,672.7583234360615,Standard Class,Net Banking,7,2023,Customer 99,Consumer,Canada,Product 37,Office Supplies,Storage,Not Returned
ORD-00022,CUST-037,2023-01-29,2023-02-03,PROD-003,4,918.3,0.02,30.82,South,870.3728653057665,Second Class,Debit Card,1,2023,Customer 37,Home Office,USA,Product 3,Office Supplies,Chairs,Not Returned
ORD-00023,CUST-024,2023-01-16,2023-01-21,PROD-033,5,442.37,0.13,30.47,South,349.62638576780756,Same Day,Net Banking,1,2023,Customer 24,Corporate,India,Product 33,Technology,Binders,Not Returned
ORD-00024,CUST-093,2023-05-08,2023-05-10,PROD-028,4,332.49,0.02,44.51,East,268.28430556199527,Second Class,Cash on Delivery,5,2023,Customer 93,Consumer,USA,Product 28,Technology,Tables,Not Returned
ORD-00025,CUST-046,2023-04-20,2023-04-24,PROD-047,3,590.55,0.44,30.1,Central,291.6720498628088,Same Day,UPI,4,2023,Customer 46,Home Office,Canada,Product 47,Technology,Phones,Not Returned
ORD-00026,CUST-053,2023-06-01,2023-06-04,PROD-008,8,383.75,0.12,48.19,South,273.09619884397904,Same Day,Cash on Delivery,6,2023,Customer 53,Corporate,USA,Product 8,Technology,Storage,Not Returned
ORD-00027,CUST-095,2023-02-26,2023-03-01,PROD-034,4,609.05,0.28,7.19,South,431.44823548415167,Same Day,Cash on Delivery,2,2023,Customer 95,Consumer,USA,Product 34,Furniture,Chairs,Not Returned
ORD-00028,CUST-099,2023-07-05,2023-07-06,PROD-035,2,711.47,0.02,9.41,South,675.863944077156,Standard Class,Debit Card,7,2023,Customer 99,Consumer,Canada,Product 35,Furniture,Binders,Returned
ORD-00029,CUST-060,2023-09-01,2023-09-05,PROD-032,2,694.64,0.33,6.98,East,455.7731948748145,Same Day,Credit Card,9,2023,Customer 60,Home Office,India,Product 32,Technology,Chairs,Not Returned
ORD-00030,CUST-097,2023-11-13,2023-11-16,PROD-024,1,387.06,0.16,13.34,Central,325.49141853610377,Same Day,Cash on Delivery,11,2023,Customer 97,Consumer,UK,Product 24,Office Supplies,Phones,Returned
ORD-00031,CUST-063,2023-08-28,2023-09-02,PROD-014,4,183.52,0.45,29.36,West,83.56899572921586,Same Day,Net Banking,8,2023,Customer 63,Corporate,USA,Product 14,Office Supplies,Phones,Not Returned
ORD-00032,CUST-085,2023-09-17,2023-09-19,PROD-032,9,441.92,0.44,34.05,Central,213.10243105897385,First Class,Credit Card,9,2023,Customer 85,Consumer,UK,Product 32,Technology,Chairs,Returned
ORD-00033,CUST-032,2023-07-26,2023-07-29,PROD-046,7,159.74,0.16,7.05,Central,126.26075273856851,Standard Class,Net Banking,7,2023,Customer 32,Home Office,UK,Product 46,Office Supplies,Phones,Not Returned
ORD-00034,CUST-087,2023-12-07,2023-12-09,PROD-043,7,892.3,0.45,47.57,East,461.9937454942101,First Class,Net Banking,12,2023,Customer 87,Home Office,Germany,Product 43,Technology,Phones,Not Returned
ORD-00035,CUST-033,2023-09-30,2023-10-05,PROD-016,7,358.96,0.5,42.9,South,141.7875612035871,Standard Class,Credit Card,9,2023,Customer 33,Corporate,UK,Product 16,Office Supplies,Chairs,Returned
ORD-00036,CUST-067,2023-09-24,2023-09-27,PROD-004,8,171.37,0.41,18.35,South,79.4802354012348,Second Class,Credit Card,9,2023,Customer 67,Corporate,India,Product 4,Office Supplies,Tables,Returned
ORD-00037,CUST-018,2023-12-15,2023-12-16,PROD-037,1,44.94,0.42,8.47,East,3.3350188287954783,First Class,Net Banking,12,2023,Customer 18,Corporate,Canada,Product 37,Office Supplies,Storage,Not Returned
ORD-00038,CUST-025,2023-02-25,2023-02-26,PROD-021,8,652.91,0.12,12.64,East,565.8595321816474,Second Class,Debit Card,2,2023,Customer 25,Consumer,Canada,Product 21,Furniture,Binders,Not Returned
ORD-00039,CUST-095,2023-03-12,2023-03-15,PROD-014,4,644.16,0.29,10.71,East,454.93683772582864,Same Day,UPI,3,2023,Customer 95,Consumer,USA,Product 14,Office Supplies,Phones,Not Returned
ORD-00040,CUST-054,2023-03-29,2023-03-31,PROD-031,4,353.79,0.03,10.55,East,326.3097847548636,Second Class,UPI,3,2023,Customer 54,Consumer,Canada,Product 31,Technology,Storage,Not Returned
ORD-00041,CUST-058,2023-08-21,2023-08-25,PROD-048,4,90.28,0.05,28.34,East,60.338027551380314,Second Class,Debit Card,8,2023,Customer 58,Consumer,Germany,Product 48,Technology,Phones,Not Returned
ORD-00042,CUST-067,2023-10-25,2023-10-28,PROD-018,6,421.44,0.5,16.06,West,191.02426705084972,Second Class,Credit Card,10,2023,Customer 67,Corporate,India,Product 18,Office Supplies,Phones,Not Returned
ORD-00043,CUST-046,2023-11-26,2023-12-01,PROD-007,7,324.99,0.16,21.12,Central,250.03127600800997,Second Class,Net Banking,11,2023,Customer 46,Home Office,Canada,Product 7,Office Supplies,Storage,Not Returned
ORD-00044,CUST-024,2023-01-03,2023-01-06,PROD-010,6,683.58,0.37,49.53,Central,356.2471794243767,Standard Class,UPI,1,2023,Customer 24,Corporate,India,Product 10,Technology,Chairs,Not Returned
ORD-00045,CUST-032,2023-06-24,2023-06-26,PROD-007,1,613.66,0.4,35.79,Central,330.1881859628386,First Class,Net Banking,6,2023,Customer 32,Home Office,UK,Product 7,Office Supplies,Storage,Not Returned
ORD-00046,CUST-047,2023-10-19,2023-10-24,PROD-033,8,377.3,0.43,47.7,South,177.0546930240806,Standard Class,Debit Card,10,2023,Customer 47,Corporate,India,Product 33,Technology,Binders,Not Returned
ORD-00047,CUST-086,2023-07-09,2023-07-12,PROD-023,7,233.53,0.5,11.42,West,99.03097444433442,Standard Class,Net Banking,7,2023,Customer 86,Corporate,Germany,Product 23,Technology,Chairs,Not Returned
ORD-00048,CUST-023,2023-05-23,2023-05-26,PROD-021,6,988.28,0.12,22.2,Central,848.0116636821531,Standard Class,Debit Card,5,2023,Customer 23,Corporate,USA,Product 21,Furniture,Binders,Not Returned
ORD-00049,CUST-066,2023-08-07,2023-08-12,PROD-019,6,464.92,0.02,29.96,South,418.1020929330808,Second Class,Credit Card,8,2023,Customer 66,Corporate,USA,Product 19,Technology,Chairs,Not Returned
ORD-00050,CUST-027,2023-09-29,2023-10-02,PROD-048,5,694.51,0.21,8.45,West,543.8173167629277,Standard Class,Debit Card,9,2023,Customer 27,Consumer,USA,Product 48,Technology,Phones,Not Returned
ORD-00051,CUST-002,2023-08-29,2023-09-02,PROD-019,6,157.74,0.07,5.19,West,139.34296802463825,First Class,Debit Card,8,2023,Customer 2,Consumer,India,Product 19,Technology,Chairs,Not Returned
ORD-00052,CUST-090,2023-11-01,2023-11-02,PROD-036,9,495.88,0.01,35.17,South,446.3587845931799,Standard Class,UPI,11,2023,Customer 90,Consumer,USA,Product 36,Technology,Chairs,Not Returned
ORD-00053,CUST-017,2023-06-30,2023-07-02,PROD-029,9,46.99,0.18,33.88,West,17.97731467665128,Same Day,Net Banking,6,2023,Customer 17,Corporate,USA,Product 29,Office Supplies,Tables,Not Returned
ORD-00054,CUST-033,2023-02-26,2023-02-27,PROD-018,8,515.35,0.39,23.49,South,300.16282013532214,Second Class,UPI,2,2023,Customer 33,Corporate,UK,Product 18,Office Supplies,Phones,Not Returned
ORD-00055,CUST-009,2023-04-18,2023-04-21,PROD-002,9,964.74,0.28,27.03,Central,661.5337323607183,Same Day,Cash on Delivery,4,2023,Customer 9,Home Office,Canada,Product 2,Technology,Binders,Not Returned
ORD-00056,CUST-043,2023-01-25,2023-01-28,PROD-001,8,396.52,0.16,23.69,South,314.3646830941778,First Class,Debit Card,1,2023,Customer 43,Home Office,India,Product 1,Furniture,Binders,Not Returned
ORD-00057,CUST-048,2023-09-12,2023-09-16,PROD-047,8,58.22,0.33,6.08,West,38.301520028203804,First Class,Cash on Delivery,9,2023,Customer 48,Consumer,India,Product 47,Technology,Phones,Not Returned
ORD-00058,CUST-039,2023-10-19,2023-10-21,PROD-005,1,50.34,0.12,20.09,Central,30.632212350111764,First Class,UPI,10,2023,Customer 39,Consumer,Canada,Product 5,Furniture,Chairs,Not Returned
ORD-00059,CUST-093,2023-12-21,2023-12-24,PROD-020,5,400.23,0.01,12.97,Central,366.31514104004924,First Class,Net Banking,12,2023,Customer 93,Consumer,USA,Product 20,Technology,Binders,Not Returned
ORD-00060,CUST-042,2023-12-24,2023-12-27,PROD-011,4,176.82,0.38,9.43,East,110.26446541032627,Standard Class,UPI,12,2023,Customer 42,Home Office,Canada,Product 11,Technology,Chairs,Not Returned
ORD-00061,CUST-026,2023-06-14,2023-06-15,PROD-042,2,42.89,0.31,48.05,East,-24.152889629257313,Second Class,Net Banking,6,2023,Customer 26,Consumer,India,Product 42,Office Supplies,Binders,Returned
ORD-00062,CUST-099,2023-01-02,2023-01-04,PROD-002,8,761.09,0.38,31.97,West,436.3275206655873,First Class,Net Banking,1,2023,Customer 99,Consumer,Canada,Product 2,Technology,Binders,Not Returned
ORD-00063,CUST-050,2023-11-10,2023-11-11,PROD-003,3,469.35,0.02,37.79,South,448.551817522602,Same Day,Credit Card,11,2023,Customer 50,Corporate,UK,Product 3,Office Supplies,Chairs,Not Returned
ORD-00064,CUST-025,2023-01-08,2023-01-10,PROD-023,4,303.46,0.42,19.19,South,159.8355338072101,First Class,Debit Card,1,2023,Customer 25,Consumer,Canada,Product 23,Technology,Chairs,Not Returned
ORD-00065,CUST-024,2023-07-31,2023-08-02,PROD-012,7,902.08,0.31,22.69,West,595.8819752455282,Second Class,UPI,7,2023,Customer 24,Corporate,India,Product 12,Furniture,Phones,Not Returned
ORD-00066,CUST-013,2023-03-08,2023-03-11,PROD-020,9,133.82,0.28,15.66,Central,58.637456272440936,Same Day,Net Banking,3,2023,Customer 13,Consumer,Germany,Product 20,Technology,Binders,Not Returned
ORD-00067,CUST-060,2023-10-31,2023-11-05,PROD-005,2,956.8,0.31,9.36,West,664.7296413394635,Same Day,UPI,10,2023,Customer 60,Home Office,India,Product 5,Furniture,Chairs,Not Returned
ORD-00068,CUST-007,2023-06-16,2023-06-19,PROD-037,3,327.69,0.43,13.06,West,160.271203291914,Same Day,UPI,6,2023,Customer 7,Home Office,USA,Product 37,Office Supplies,Storage,Returned
ORD-00069,CUST-057,2023-01-28,2023-02-01,PROD-038,4,890.64,0.29,40.89,Central,581.430010965005,Standard Class,Net Banking,1,2023,Customer 57,Home Office,Germany,Product 38,Furniture,Binders,Not Returned
ORD-00070,CUST-036,2023-04-02,2023-04-03,PROD-030,1,610.88,0.29,35.49,South,394.92127700912147,First Class,Cash on Delivery,4,2023,Customer 36,Corporate,India,Product 30,Technology,Phones,Not Returned
ORD-00071,CUST-045,2023-07-31,2023-08-03,PROD-009,7,830.17,0.5,29.61,West,399.63911791700286,Standard Class,Debit Card,7,2023,Customer 45,Consumer,Germany,Product 9,Technology,Phones,Not Returned
ORD-00072,CUST-020,2023-10-31,2023-11-02,PROD-034,2,984.33,0.38,26.38,South,591.6369998666577,Same Day,Debit Card,10,2023,Customer 20,Corporate,Germany,Product 34,Furniture,Chairs,Not Returned
ORD-00073,CUST-065,2023-01-15,2023-01-19,PROD-044,5,302.64,0.22,46.51,West,187.9708249015974,Standard Class,Credit Card,1,2023,Customer 65,Corporate,USA,Product 44,Technology,Phones,Not Returned
ORD-00074,CUST-008,2023-01-03,2023-01-06,PROD-035,1,961.91,0.35,8.27,Central,620.0544206363882,Standard Class,Credit Card,1,2023,Customer 8,Corporate,India,Product 35,Furniture,Binders,Not Returned
ORD-00075,CUST-016,2023-01-06,2023-01-11,PROD-022,3,401.69,0.19,17.63,Central,301.73504307128894,Standard Class,Credit Card,1,2023,Customer 16,Consumer,UK,Product 22,Furniture,Phones,Not Returned
ORD-00076,CUST-014,2023-08-02,2023-08-07,PROD-044,2,397.8,0.11,20.75,East,334.68853689565356,First Class,Debit Card,8,2023,Customer 14,Home Office,USA,Product 44,Technology,Phones,Not Returned
ORD-00077,CUST-076,2023-05-04,2023-05-09,PROD-024,1,353.58,0.3,40.21,Central,208.02936744778134,Same Day,Cash on Delivery,5,2023,Customer 76,Corporate,USA,Product 24,Office Supplies,Phones,Returned
ORD-00078,CUST-087,2023-03-15,2023-03-19,PROD-017,7,550.58,0.46,49.66,East,257.3408989568136,Same Day,Debit Card,3,2023,Customer 87,Home Office,Germany,Product 17,Office Supplies,Binders,Not Returned
ORD-00079,CUST-015,2023-07-11,2023-07-13,PROD-010,5,171.06,0.46,15.83,West,86.2141812243895,First Class,Debit Card,7,2023,Customer 15,Corporate,Germany,Product 10,Technology,Chairs,Not Returned
ORD-00080,CUST-092,2023-04-17,2023-04-18,PROD-030,1,562.64,0.17,44.34,South,427.59097382205647,Standard Class,Debit Card,4,2023,Customer 92,Consumer,USA,Product 30,Technology,Phones,Not Returned
ORD-00081,CUST-098,2023-09-01,2023-09-06,PROD-046,6,550.87,0.26,42.38,Central,361.64032442453896,Standard Class,Debit Card,9,2023,Customer 98,Home Office,Germany,Product 46,Office Supplies,Phones,Not Returned
ORD-00082,CUST-066,2023-08-12,2023-08-16,PROD-023,5,766.66,0.11,15.11,Central,674.6356229439012,Second Class,Cash on Delivery,8,2023,Customer 66,Corporate,USA,Product 23,Technology,Chairs,Not Returned
ORD-00083,CUST-032,2023-12-09,2023-12-10,PROD-032,3,836.98,0.5,22.97,Central,394.6003153379695,Second Class,Credit Card,12,2023,Customer 32,Home Office,UK,Product 32,Technology,Chairs,Not Returned
ORD-00084,CUST-087,2023-09-03,2023-09-07,PROD-017,7,451.63,0.49,23.44,West,196.07215631286869,Second Class,UPI,9,2023,Customer 87,Home Office,Germany,Product 17,Office Supplies,Binders,Not Returned
ORD-00085,CUST-063,2023-05-25,2023-05-26,PROD-050,9,316.29,0.32,49.02,East,162.0243220808906,First Class,Credit Card,5,2023,Customer 63,Corporate,USA,Product 50,Furniture,Storage,Not Returned
ORD-00086,CUST-086,2023-03-23,2023-03-28,PROD-017,9,274.15,0.4,13.14,West,152.1952698378432,Same Day,Credit Card,3,2023,Customer 86,Corporate,Germany,Product 17,Office Supplies,Binders,Not Returned
ORD-00087,CUST-051,2023-04-30,2023-05-05,PROD-014,9,210.73,0.36,40.96,South,103.00935783664744,Second Class,UPI,4,2023,Customer 51,Corporate,UK,Product 14,Office Supplies,Phones,Not Returned
ORD-00088,CUST-025,2023-03-04,2023-03-08,PROD-009,2,76.49,0.3,20.04,West,31.667718278428463,Same Day,Debit Card,3,2023,Customer 25,Consumer,Canada,Product 9,Technology,Phones,Returned
ORD-00089,CUST-058,2023-01-05,2023-01-06,PROD-040,3,355.6,0.03,37.89,South,294.950012887604,Same Day,Cash on Delivery,1,2023,Customer 58,Consumer,Germany,Product 40,Furniture,Chairs,Not Returned
ORD-00090,CUST-063,2023-03-10,2023-03-13,PROD-002,7,284.84,0.23,23.9,Central,195.9942168329682,Same Day,Cash on Delivery,3,2023,Customer 63,Corporate,USA,Product 2,Technology,Binders,Not Returned
ORD-00091,CUST-062,2023-06-01,2023-06-05,PROD-045,5,967.09,0.34,31.03,South,608.3839604005655,First Class,Credit Card,6,2023,Customer 62,Consumer,Germany,Product 45,Office Supplies,Storage,Not Returned
ORD-00092,CUST-022,2023-10-18,2023-10-19,PROD-025,2,566.55,0.34,42.47,South,333.3113762890275,First Class,UPI,10,2023,Customer 22,Consumer,India,Product 25,Furniture,Chairs,Not Returned
ORD-00093,CUST-058,2023-05-19,2023-05-22,PROD-039,3,360.33,0.19,41.19,East,259.8760151595443,First Class,Net Banking,5,2023,Customer 58,Consumer,Germany,Product 39,Technology,Phones,Not Returned
ORD-00094,CUST-058,2023-09-11,2023-09-16,PROD-009,6,588.86,0.47,43.99,South,278.29503240089895,First Class,Debit Card,9,2023,Customer 58,Consumer,Germany,Product 9,Technology,Phones,Returned
ORD-00095,CUST-086,2023-05-17,2023-05-22,PROD-022,7,156.41,0.08,7.68,South,130.27509127618333,Second Class,Credit Card,5,2023,Customer 86,Corporate,Germany,Product 22,Furniture,Phones,Not Returned
ORD-00096,CUST-049,2023-04-14,2023-04-17,PROD-043,9,455.16,0.25,36.14,West,299.0685654195106,Standard Class,Cash on Delivery,4,2023,Customer 49,Corporate,Germany,Product 43,Technology,Phones,Not Returned
ORD-00097,CUST-052,2023-10-28,2023-11-01,PROD-046,1,633.71,0.35,11.3,Central,390.2095128904453,Standard Class,UPI,10,2023,Customer 52,Consumer,Canada,Product 46,Office Supplies,Phones,Returned
ORD-00098,CUST-042,2023-06-18,2023-06-19,PROD-004,7,499.12,0.35,23.71,West,307.7061567028048,Standard Class,UPI,6,2023,Customer 42,Home Office,Canada,Product 4,Office Supplies,Tables,Not Returned
ORD-00099,CUST-070,2023-06-26,2023-06-28,PROD-026,8,413.74,0.32,29.69,West,266.1414010833771,Second Class,Credit Card,6,2023,Customer 70,Consumer,Canada,Product 26,Technology,Storage,Not Returned
ORD-00100,CUST-015,2023-06-26,2023-06-28,PROD-029,3,993.97,0.14,23.12,Central,828.5433807209108,Standard Class,Net Banking,6,2023,Customer 15,Corporate,Germany,Product 29,Office Supplies,Tables,Not Returned
ORD-00101,CUST-054,2023-07-15,2023-07-19,PROD-045,4,882.71,0.08,28.38,Central,781.2988943527502,Second Class,Cash on Delivery,7,2023,Customer 54,Consumer,Canada,Product 45,Office Supplies,Storage,Not Returned
ORD-00102,CUST-060,2023-03-11,2023-03-13,PROD-034,6,630.94,0.32,49.84,South,393.8670255689898,Second Class,Credit Card,3,2023,Customer 60,Home Office,India,Product 34,Furniture,Chairs,Not Returned
ORD-00103,CUST-097,2023-10-14,2023-10-16,PROD-023,7,577.99,0.3,11.08,South,398.56857853215007,Second Class,Net Banking,10,2023,Customer 97,Consumer,UK,Product 23,Technology,Chairs,Not Returned
ORD-00104,CUST-008,2023-12-17,2023-12-22,PROD-037,4,628.25,0.09,35.4,East,540.6698570480105,Standard Class,UPI,12,2023,Customer 8,Corporate,India,Product 37,Office Supplies,Storage,Not Returned
ORD-00105,CUST-053,2023-04-26,2023-04-28,PROD-011,8,217.29,0.35,22.82,West,106.50933494026273,Same Day,Debit Card,4,2023,Customer 53,Corporate,USA,Product 11,Technology,Chairs,Not Returned
ORD-00106,CUST-060,2023-10-07,2023-10-10,PROD-006,5,407.23,0.23,10.99,Central,309.3643806927942,Standard Class,Cash on Delivery,10,2023,Customer 60,Home Office,India,Product 6,Office Supplies,Binders,Not Returned
ORD-00107,CUST-005,2023-03-05,2023-03-07,PROD-018,1,58.67,0.33,12.14,South,17.87753659490241,Standard Class,Cash on Delivery,3,2023,Customer 5,Consumer,India,Product 18,Office Supplies,Phones,Not Returned
ORD-00108,CUST-068,2023-03-03,2023-03-04,PROD-021,4,486.04,0.42,47.72,Central,222.84299814065045,First Class,Net Banking,3,2023,Customer 68,Corporate,USA,Product 21,Furniture,Binders,Not Returned
ORD-00109,CUST-006,2023-10-08,2023-10-10,PROD-042,3,552.16,0.08,44.58,South,459.93948423233286,Second Class,Credit Card,10,2023,Customer 6,Consumer,India,Product 42,Office Supplies,Binders,Not Returned
ORD-00110,CUST-096,2023-11-29,2023-12-03,PROD-036,9,243.19,0.01,45.82,East,189.08017276551308,Same Day,UPI,11,2023,Customer 96,Consumer,UK,Product 36,Technology,Chairs,Returned
ORD-00111,CUST-094,2023-06-28,2023-07-03,PROD-041,8,964.75,0.39,49.62,East,536.6615030561495,First Class,Net Banking,6,2023,Customer 94,Home Office,India,Product 41,Furniture,Chairs,Not Returned
ORD-00112,CUST-047,2023-05-14,2023-05-17,PROD-038,1,911.27,0.3,14.37,Central,609.1091836547507,Same Day,Debit Card,5,2023,Customer 47,Corporate,India,Product 38,Furniture,Binders,Not Returned
ORD-00113,CUST-099,2023-08-22,2023-08-23,PROD-034,6,727.7,0.35,20.99,East,461.6031630646768,Same Day,Debit Card,8,2023,Customer 99,Consumer,Canada,Product 34,Furniture,Chairs,Not Returned
ORD-00114,CUST-055,2023-06-29,2023-07-04,PROD-017,9,542.72,0.42,35.11,Central,290.94446294516433,Second Class,Debit Card,6,2023,Customer 55,Corporate,Germany,Product 17,Office Supplies,Binders,Not Returned
ORD-00115,CUST-040,2023-04-14,2023-04-16,PROD-037,7,872.57,0.4,26.77,South,477.2985752585919,Standard Class,Net Banking,4,2023,Customer 40,Home Office,Germany,Product 37,Office Supplies,Storage,Not Returned
ORD-00116,CUST-052,2023-12-19,2023-12-23,PROD-025,4,148.04,0.48,23.83,West,62.935378056665506,Second Class,UPI,12,2023,Customer 52,Consumer,Canada,Product 25,Furniture,Chairs,Not Returned
ORD-00117,CUST-016,2023-04-22,2023-04-26,PROD-038,1,794.7,0.27,21.1,East,550.9257137017837,Second Class,Cash on Delivery,4,2023,Customer 16,Consumer,UK,Product 38,Furniture,Binders,Not Returned
ORD-00118,CUST-013,2023-09-07,2023-09-09,PROD-012,2,142.32,0.24,31.72,South,85.01295536982785,First Class,Credit Card,9,2023,Customer 13,Consumer,Germany,Product 12,Furniture,Phones,Not Returned
ORD-00119,CUST-030,2023-03-11,2023-03-14,PROD-023,5,798.33,0.2,30.9,West,607.0795350733359,Second Class,Cash on Delivery,3,2023,Customer 30,Home Office,India,Product 23,Technology,Chairs,Not Returned
ORD-00120,CUST-019,2023-03-22,2023-03-26,PROD-042,5,290.25,0.08,12.27,West,255.04775564081,Standard Class,UPI,3,2023,Customer 19,Corporate,India,Product 42,Office Supplies,Binders,Not Returned
ORD-00121,CUST-017,2023-06-15,2023-06-18,PROD-022,8,879.55,0.29,26.23,West,596.3995235057877,Same Day,Cash on Delivery,6,2023,Customer 17,Corporate,USA,Product 22,Furniture,Phones,Not Returned
ORD-00122,CUST-063,2023-02-20,2023-02-21,PROD-021,6,945.16,0.14,29.91,South,795.0488920423348,Second Class,Net Banking,2,2023,Customer 63,Corporate,USA,Product 21,Furniture,Binders,Not Returned
ORD-00123,CUST-019,2023-05-25,2023-05-29,PROD-027,8,165.82,0.46,30.66,South,46.48691987474972,Same Day,Debit Card,5,2023,Customer 19,Corporate,India,Product 27,Technology,Tables,Not Returned
ORD-00124,CUST-092,2023-01-08,2023-01-13,PROD-031,2,473.42,0.29,14.45,Central,327.7566033873501,Second Class,UPI,1,2023,Customer 92,Consumer,USA,Product 31,Technology,Storage,Returned
ORD-00125,CUST-058,2023-06-12,2023-06-13,PROD-006,3,981.37,0.3,38.4,West,659.5723016488955,Same Day,UPI,6,2023,Customer 58,Consumer,Germany,Product 6,Office Supplies,Binders,Not Returned
ORD-00126,CUST-055,2023-04-27,2023-05-01,PROD-027,6,493.74,0.18,6.13,West,405.9002008054041,Second Class,Cash on Delivery,4,2023,Customer 55,Corporate,Germany,Product 27,Technology,Tables,Not Returned
ORD-00127,CUST-090,2023-11-23,2023-11-26,PROD-040,3,866.28,0.03,20.97,West,842.568589143234,First Class,Net Banking,11,2023,Customer 90,Consumer,USA,Product 40,Furniture,Chairs,Not Returned
